TICKER,SEGMENT
MXRF11,REAL ESTATE FUNDS
KNCR11,REAL ESTATE FUNDS
KNRI11,REAL ESTATE FUNDS
HGLG11,REAL ESTATE FUNDS
HGBS11,REAL ESTATE FUNDS
XPML11,REAL ESTATE FUNDS
XPLG11,REAL ESTATE FUNDS
VISC11,REAL ESTATE FUNDS
BRCO11,REAL ESTATE FUNDS
HGRE11,REAL ESTATE FUNDS
BCFF11,REAL ESTATE FUNDS
VGIR11,REAL ESTATE FUNDS
CMIN3,BASIC MATERIALS
TRXF11,REAL ESTATE FUNDS
KNSC11,REAL ESTATE FUNDS
BRCR11,REAL ESTATE FUNDS
AURE3,PUBLIC UTILITY
ABCB4,FINANCIAL
GOAU4,BASIC MATERIALS
BBAS3,FINANCIAL
VALE3,BASIC MATERIALS
BBSE3,FINANCIAL
CXSE3,FINANCIAL
TRPL4,PUBLIC UTILITY
PETR3,PETROLEUM GAS AND BIO
ITUB3,FINANCIAL
LEVE3,CYCLIC CONSUMPTION
KEPL3,GOODS AND INDUSTRY
BBDC3,FINANCIAL
ELET3,PUBLIC UTILITY
TGAR11,REAL ESTATE FUNDS
GALG11,REAL ESTATE FUNDS
BTCI11,REAL ESTATE FUNDS
XPSF11,REAL ESTATE FUNDS
SAPR3,PUBLIC UTILITY
CPLE3,PUBLIC UTILITY
ITSA4,FINANCIAL
MOVI3,CYCLIC CONSUMPTION
BBRC11,REAL ESTATE FUNDS
DEVA11,REAL ESTATE FUNDS
EGIE3,PUBLIC UTILITY
TAEE4,PUBLIC UTILITY
BTLG11,REAL ESTATE FUNDS
RECR11,REAL ESTATE FUNDS
MALL11,REAL ESTATE FUNDS
HCTR11,REAL ESTATE FUNDS
VGIP11,REAL ESTATE FUNDS
WEGE3,GOODS AND INDUSTRY
FLRY3,HEALTH
CMIG4,PUBLIC UTILITY
KLBN3,BASIC MATERIALS
ALUP11,PUBLIC UTILITY
IRDM11,REAL ESTATE FUNDS
PSSA3,FINANCIAL
HSML11,REAL ESTATE FUNDS
VIVT3,COMMUNICATION
AGRO3,NON-CYCLICAL CONSUMPTION
SANB3,FINANCIAL
AESB3,PUBLIC UTILITY
ENBR3,PUBLIC UTILITY
VGHF11,REAL ESTATE FUNDS
CPRE3,PUBLIC UTILITY
CSMG3,PUBLIC UTILITY
CBAV3,BASIC MATERIALS
