INVESTIMENT,GROUP,COMPANY,CURRENT VALUE (R$),DIVIDEND YIELD %,DATE COM,DATE OF PAYMENT,VALUE OF PAYMENT (R$),DATE/TIME
MXRF11,REAL ESTATE FUNDS,MXRF11 - Maxi Renda,"10,96","12,14",29/09/2023,16/10/2023,"0,11000000",2023-10-09 23:10:58
KNCR11,REAL ESTATE FUNDS,KNCR11 - Kinea Rendimentos Imobiliários,"100,28","13,62",29/09/2023,13/10/2023,"1,10000000",2023-10-09 23:10:59
KNRI11,REAL ESTATE FUNDS,KNRI11 - Kinea Renda Imobiliária,"157,76","7,57",29/09/2023,16/10/2023,"1,00000000",2023-10-09 23:11:00
HGLG11,REAL ESTATE FUNDS,HGLG11 - CGHG Logística,"159,03","9,24",29/09/2023,16/10/2023,"1,10000000",2023-10-09 23:11:01
HGBS11,REAL ESTATE FUNDS,HGBS11 - CSHG Brasil Shopping,"229,10","7,97",29/09/2023,16/10/2023,"2,00000000",2023-10-09 23:11:02
XPML11,REAL ESTATE FUNDS,XPML11 - XP Malls,"110,86","8,71",18/09/2023,25/09/2023,"0,85000000",2023-10-09 23:11:03
XPLG11,REAL ESTATE FUNDS,XPLG11 - XP Log,"112,20","8,07",29/09/2023,16/10/2023,"0,78000000",2023-10-09 23:11:04
VISC11,REAL ESTATE FUNDS,VISC11 - Vinci Shopping Centers,"117,40","8,50",29/09/2023,16/10/2023,"0,92000000",2023-10-09 23:11:04
BRCO11,REAL ESTATE FUNDS,BRCO11 - BRESCO LOGÍSTICA - FDO INV IMOB,"123,76","7,60",29/09/2023,13/10/2023,"0,87000000",2023-10-09 23:11:05
HGRE11,REAL ESTATE FUNDS,HGRE11 - CSHG Real Estate,"127,97","8,05",29/09/2023,16/10/2023,"0,78000000",2023-10-09 23:11:06
BCFF11,REAL ESTATE FUNDS,BCFF11 - BTG Fundo de Fundos,"71,90","9,35",06/10/2023,16/10/2023,"0,56000000",2023-10-09 23:11:07
VGIR11,REAL ESTATE FUNDS,VGIR11 - Valora RE III,"9,99","14,91",13/09/2023,20/09/2023,"0,13000000",2023-10-09 23:11:08
CMIN3,BASIC MATERIALS,CMIN3 - CSN MINERAÇÃO S.A.,"4,65","19,58",08/05/2023,17/05/2023,"0,28257142",2023-10-09 23:11:09
TRXF11,REAL ESTATE FUNDS,TRXF11 - TRX Real Estate,"108,09","9,95",29/09/2023,16/10/2023,"0,90000000",2023-10-09 23:11:10
KNSC11,REAL ESTATE FUNDS,KNSC11 - KINEA SECURITIES FDO. DE INV. IMOB. - FII,"89,50","11,42",29/09/2023,13/10/2023,"0,75000000",2023-10-09 23:11:11
BRCR11,REAL ESTATE FUNDS,BRCR11 - BTG Pactual Corporate Office,"57,25","9,52",06/10/2023,16/10/2023,"0,41000000",2023-10-09 23:11:11
AURE3,PUBLIC UTILITY,AURE3 - AUREN ENERGIA S.A.,"13,76","10,90",04/05/2023,15/05/2023,"1,50000000",2023-10-09 23:11:12
ABCB4,FINANCIAL,ABCB4 - BANCO ABC BRASIL,"19,66","6,13",30/06/2023,16/08/2023,"0,83600000",2023-10-09 23:11:13
GOAU4,BASIC MATERIALS,GOAU4 - METALURGICA GERDAU,"10,49","11,06",18/08/2023,30/08/2023,"0,26000000",2023-10-09 23:11:14
BBAS3,FINANCIAL,BBAS3 - BANCO BRASIL,"48,55","9,46",11/09/2023,29/09/2023,"0,33419721",2023-10-09 23:11:15
